@name,enabled,type,nameUi,order,weight,cost,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,speedLimiter,minMainTurrets,minMainBarrels,#comment,#comment2,#cost_base,#cost_base_mod
#id,enabled / disabled,type of part,name for human,order in ui,used tonnage,part's cost,cost multiplier (after auto-calc),crew for part,visual model name,scaling of model,grouping (for guns etc),allowed mount points types (empty means free),available to countries (or all),various params: todo: document,,gun: caliber in mm,gun: caliber in inches,gun: amount of barrels,hull: basic ratio of hull weight,hull: min amount of sections,hull: max amount of sections,hull: max allowed tonnage,hull: max allowed tonnage,guns limi,,,,,,,,,,"comment, shown only here",,part's cost,
default,1,,,0,0,0,1,0,,1,,,,,,0,0,0,-1,0,-1,-1,-1,-1,-9,10,-15,16.5,0.6,0.505,32.5,-1,-1,,32,0,
##,,hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_7_bismarck,,hull,Super Battleship II,,-1,-1,1.63,1250,bismarck_hull_a,1.4,,,germany,"type(bb), BB_Modern_Germany_Wider, Big_SuperStructure, Typical_Modern_BB, No_Barb, bb, g4","hsize(4500), hull_form(96), stability(91), floatability(80), endurance(100), spot(0), turn(30), vis(8800), beam(0), draught(0)",,,,0.18,1,3,104000,130000,,-12,12,-22.5,18.5,0.75,0.65,32,3,6,,31.5,-1,
bb_6_bismarck,,hull,Super Battleship I,,-1,-1,1.6,1150,bismarck_hull_a,1.2,,,germany,"type(bb), BB_Modern_Germany, BB_Modern_Germany_Wide, No_Barb, bb, g4","hsize(4000), hull_form(94), stability(91), floatability(78), endurance(100), spot(0), turn(35), vis(8400), beam(0), draught(0)",,,,0.17,1,3,84000,105000,,-12,12,-22.5,18.5,0.75,0.65,32,3,6,,31.5,-1,
bb_6_iowa,,hull,Super Battleship,,-1,-1,1.55,1150,iowa_hull_a,1.04,,,usa,"type(bb), BB_Modern_Iowa, BB_Modern_Iowa_Big, bb, g4, No_Barb","hsize(3600), hull_form(97), stability(80), floatability(85), endurance(81), spot(0), turn(35), vis(8100), beam(0), draught(0)",,,,0.17,3,5,88000,109000,,-12,12,-22.5,18.5,0.75,0.65,33,3,6,,32.5,-1,
bb_6,,hull,Super Battleship,,-1,-1,1.55,1150,yamato_hull_a,1.25,,,"japan, korea","type(bb), BB_Modern, BB_Modern_Wide, Yamato_Style, Typical_Modern_BB, Big_SuperStructure, bb, g4","hsize(5200), hull_form(85), stability(88), floatability(80), endurance(89.5), spot(0), turn(29), vis(8250), beam(0), draught(0)",,,,0.17,2,4,97000,125000,,-12,12,-22.5,18.5,0.75,0.65,31,3,6,,30.5,-1,
bb_7_soyuz,,hull,Super Battleship II,,-1,-1,1.6,1150,ussr_hull_a,1.22,,,russia,"type(bb), BB_Soyuz_Big, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(9700), hull_form(85), stability(80), floatability(75), endurance(99), spot(0), turn(27), vis(9150), beam(0), draught(0)",,,,0.2,4,6,96000,123000,,-12,12,-22.5,18.5,0.75,0.65,30.5,3,6,,30,-1,
bb_7_austria,,hull,Super Battleship,,-1,-1,1.65,1150,kgeorge_hull_a,1.175,,,austria,"type(bb), BB_Austria_Super, Mixed_Quads, Middle_Big, bb, g4, Typical_Modern2_BB, Typical_Modern_BB","hsize(4100), hull_form(98), stability(91), floatability(94), endurance(90), spot(0), turn(40), vis(9000), beam(0), draught(0)",,,,0.15,4,6,92500,101500,,-10,14,-22.5,23.5,0.75,0.65,32.5,3,6,,32,-1,
bb_7_russia,,hull,Super Battleship I,,-1,-1,1.6,1150,spee_hull_a,1.82,,,russia,"type(bb), BB_Modern_Thick, Big_SuperStructure, Mixed_Quads, bb, g4, var(back_gun)","hsize(8700), hull_form(85), stability(76), floatability(72), endurance(100), spot(0), turn(22), vis(8900), beam(0), draught(0)",,,,0.19,2,3,85000,99000,,-12,12,-22.5,18.5,0.75,0.65,30.5,3,6,,30,-1,
